"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","BARCODE TYPE","BATCH NUMBER"
"1A40003126874CA000007710","10003115","CAMPER COOKIE WRECK WAX 1G",0,17,50,"CANNIBIS","USER","NA"
"1A40003126874CA000007711","10003117","CAMPER BEARDANCE WAX 1G",0,17,50,"CANNIBIS","USER","NA"
"1a40003126874cA000007704","10003119","CAMPER BUBBA CHEM SHATTER",10,17,50,"CANNIBIS","USER","NA"
"1A400031266F025000004561","10003135","TANGERINE KUSH 7G",2,25,110,"CANNIBIS","USER","tk4561"
"1A400031266F025000004561","10003137","TANGERINE KUSH 3.5G",1,12.5,60,"CANNIBIS","USER","tk4561"
"1A400031266F025000004561","10003139","TANGERINE KUSH 1G",-1,3.57,12,"CANNIBIS","USER","tk004561"
"1A400031266Ee6b000002392","10003141","LEMON SKUNK 7G",0,23.43,75,"CANNIBIS","USER","002392"
"1A400031266ee6b000002392","10003143","LEMON SKUNK 3.5G",0,11.72,40,"CANNIBIS","USER","002392"
"1A400031266EE6B000002392","10003145","LEMON SKUNK 1G",3,3.35,12,"CANNIBIS","USER","002392"
"1A400031266Ee7E000004718","10003147","PRE-ROLL BLUEBERRY HEADBAND",3,3.5,10,"CANNIBIS","USER","NA"
"1a4000312687486000028506","10003149","MARQAHA MIST INDICA-100MG",26,12,25,"CANNIBIS","USER","NA"
"1A4000312687486000028507","10003151","MARQAHA MIST SATIVA-100MG",25,12,25,"CANNIBIS","USER","NA"
"1a4000312687531000003394","10003153","RIPPLE INDICA 50MG",0,8,20,"CANNIBIS","USER","NA"
"1A4000312687531000003395","10003155","RIPPLE SATIVA 50MG",0,8,20,"CANNIBIS","USER","NA"
"1a4000312687531000003396","10003157","STILLWATER BLACK TEA 20MG",10,9,20,"CANNIBIS","USER","NA"
"1A4000312687531000003397","10003159","STILLWATER GREEN TEA 20MG",0,9,20,"CANNIBIS","USER","NA"
"1A4000312687531000003398","10003161","STILLWATER MINT TEA 20MG",0,9,20,"CANNIBIS","USER","NA"
"1A4000312687531000003399","10003163","WHITEWATER BLACK TEA 80MG",16,13,30,"CANNIBIS","USER","NA"
"1A4000312687531000003400","10003165","WHITEWATER GREEN TEA 80MG",11,13,30,"CANNIBIS","USER","NA"
"1A4000312687531000003401","10003167","WHITEWATER MINT TEA 80MG",10,13,30,"CANNIBIS","USER","NA"
"1A40003126874AA000036754","10003179","IT STRAWBERRY",7,9.75,25,"CANNIBIS","USER","NA"
"1A40003126874AA000036755","10003181","IT SOUR WATERMELON",1,9.75,25,"CANNIBIS","USER","NA"
"1a40003126874AA000036756","10003185","IT LEMON",0,9.75,25,"CANNIBIS","USER","NA"
"1A40003126874Aa000036757","10003187","IT SOUR BOYSENBERRY",23,10,25,"CANNIBIS","USER","NA"
"1a40003126874aa000036758","10003189","IT GRAPEFRUIT",0,9.75,25,"CANNIBIS","USER","NA"
"1a40003126874aa000036759","10003191","IT CITRUS MEDLEY",2,9.75,25,"CANNIBIS","USER","NA"
"1A400031266f025000004560","10003193","STRAWNANA 1G",0,3.57,20,"CANNIBIS","USER","rmfsn31517"
"1A400031266f025000004560","10003195","STRAWNANA 3.5G",0,12.5,60,"CANNIBIS","USER","rmfsn31517"
"1a400031266F025000004560","10003197","STRAWNANA 7G",0,25,110,"CANNIBIS","USER","rmfsn31517"
"1A400031266F025000004558","10003221","LUCKY CHARMS 7G",0,25,75,"CANNIBIS","USER","rmflc31517"
"1a400031266f025000004558","10003223","LUCKY CHARMS 3.5G",1,12.5,40,"CANNIBIS","USER","rmflc31517"
"1a400031266F025000004558","10003225","LUCKY CHARMS 1G",0,3.57,12,"CANNIBIS","USER","rmflc31517"
"1A400031266Ee7E000004833","10003227","PRE-ROLL BLUE DREAM",34,2.5,6,"CANNIBIS","USER","NA"
"1A400031266EE7e000004827","10003229","PRE-ROLL MEDICINE MAN-FLOWER",-7,3.5,10,"CANNIBIS","USER","NA"
"1A400031266Ee7e000004718","10003231","PRE-ROLL BLUEBERRY HEADBAND",3,3.5,10,"CANNIBIS","USER","NA"
"1a4000312687493000004996","10003233","ALTUS PILLS INDICA",-3,8,25,"CANNIBIS","USER","NA"
"1a4000312687493000005001","10003235","ALTUS PILLS SATIVA",16,8,25,"CANNIBIS","USER","NA"
"1A4000312687506000011803","10003237","CODA SALT & NIBS",2,9,25,"CANNIBIS","USER","NA"
"1a4000312687506000011802","10003239","CODA FIRE & ORANGE",2,9,25,"CANNIBIS","USER","NA"
"1A4000312687506000011805","10003241","CODA MAPLE & PECAN",-1,9,25,"CANNIBIS","USER","NA"
"1A4000312687506000011804","10003243","CODA COFFEE & DONUTS",1,9,25,"CANNIBIS","USER","NA"
"1a400031266F025000004557","10003245","LOST TRIBE  7G",0,25,110,"CANNIBIS","USER","NA"
"1A400031266F025000004557","10003249","LOST TRIBE 1G",0,3.57,20,"CANNIBIS","USER","4557"
"1A400031266F025000004557","10003251","WONDERLEAF SYRINGE 1G ULTRA SO",59,18,50,"CANNIBIS","USER","4557"
"1A4000312687506000011806","10003253","SAMPLES EACH",3,0.01,0.01,"CANNIBIS","USER","NA"
"1A400031266F025000004560","10003255","SAMPLES WEIGHTED",41.95,0.1,0.01,"CANNIBIS","USER","rmfsn31517"
"1a4000312687522000003260","10003257","WONDERLEAF 1G SYRINGE OG KUSH",0,18,50,"CANNIBIS","USER","3260"
"1A4000312687522000003509","10003259","WONDERLEAF SYRINGE 1G ULTRA SO",59,18,50,"CANNIBIS","USER","3509"
"1a4000312687522000003462","10003261","WONDERLEAF 500MG LUCY",-2,25,75,"CANNIBIS","USER","003462"
"1a4000312687522000003464","10003263","WONDERLEAF 500MG GTH",1,25,75,"CANNIBIS","USER","3464"
