"RFID","BARCODE","NAME","QTY ON HAND","BUY PRICE","SELL PRICE","CATEGORY","SUBCAT_COD","BARCODE TYPE","BATCH NUMBER"
"1A40003126874EF000001512","10000075","SWEET 300MG CARTRIDGE HYBRID",11,17,45,"CANNIBIS","CONC","USER","1192"
"1A40003126874EF000000954","10000076","SWEET CBD 300MG",0,17,55,"CANNIBIS","CONC","USER","602"
"1A40003126874B3000030563","10000077","OPEN 150MG SATIVA",1,12,25,"CANNIBIS","CONC","USER","04261633"
"1A40003126874B3000027353","10000078","OPEN 150MG HYBRID CARTRIDGE",-1,12,25,"CANNIBIS","CONC","USER","0211669"
"1A40003126874B3000030563","10000079","OPEN 150MG INDICA",0,12,25,"CANNIBIS","CONC","USER","03251616"
"1A400031266EF55000001226","10000081","ISLAND TOUR 3.5G",0,11.72,60,"CANNIBIS","FLOWER","USER","1226"
"1A4000312687522000000312","10000082","WONDERLEAF 500MG MAZAR I SHARI",1,29.25,75,"CANNIBIS","CONC","USER","05090601"
"1A400031266EF55000001226","10000083","ISLAND TOUR 1G",0,0,20,"CANNIBIS","FLOWER","USER","1226"
"1A4000312687522000000310","10000084","WONDERLEAF 500MG GTH",1,25,75,"CANNIBIS","CONC","USER","04191601"
"1A4000312687522000000313","10000085","WONDERLEAF 500MG LEGEND KILLER",0,35,75,"CANNIBIS","CONC","USER","328161"
"1A400031266EF55000001226","10000086","ISLAND TOUR 7G",0,0,110,"CANNIBIS","FLOWER","USER","1226"
"1A4000312687522000000313","10000087","WONDERLEAF 250MG LEGEND KILLER",0,20,45,"CANNIBIS","CONC","USER","328161"
"1A400031266EF55000000898","10000088","SOUR DIESEL 1G",-1,2.9,20,"CANNIBIS","FLOWER","USER","0898"
"1A4000312687522000000310","10000089","WONDERLEAF 250MG JUICY FRUIT",-1,15,45,"CANNIBIS","CONC","USER","04191601"
"1A400031266EF55000000898","10000090","SOUR DIESEL 7G",-1,20.31,110,"CANNIBIS","FLOWER","USER","0898"
"1A4000312687522000000312","10000091","WONDERLEAF 250MG DURBAN POISON",2,15,45,"CANNIBIS","CONC","USER","05090601"
"1A400031266EF55000000898","10000092","SOUR DIESEL 3.5G",0,10.16,60,"CANNIBIS","FLOWER","USER","0898"
"1A400031266EE7E000002486","10000093","CRITICAL MASS 7G",0,25,75,"CANNIBIS","SPECIALS","USER","2486"
"1A400031266EE7E000002486","10000094","CRITICAL MASS 1G",0,3.57,12,"CANNIBIS","SPECIALS","USER","2486"
"1A40003126874EF000001515","10000095","SWEET DISPOSABLE HYBRID",0,20,45,"CANNIBIS","CONC","USER","1192"
"1A400031266EE7E000002486","10000096","CRITICAL MASS 3.5G",0,12.5,40,"CANNIBIS","SPECIALS","USER","2486"
"1A400031266EF55000001267","10000097","KANDY KUSH 7G",0,23.44,110,"CANNIBIS","FLOWER","USER","1267"
"1A40003126874EF000001516","10000098","SWEET DISPOSABLE INDICA",12,20,45,"CANNIBIS","CONC","USER","1409"
"1A4000312687522000000314","10000099","WONDERLEAF WAX 1G LEMON SKUNK",0,20,60,"CANNIBIS","CONC","USER","06011601"
"1A400031266EF55000001267","10000100","KANDY KUSH 1G",1,3.35,20,"CANNIBIS","FLOWER","USER","1267"
"1A400031266EF55000001267","10000101","KANDY KUSH 3.5G",0,11.72,40,"CANNIBIS","SPECIALS","USER","1267"
"1A4000312687522000000315","10000102","WONDERLEAF WAX 1G SPACE CREAM",0,25,60,"CANNIBIS","CONC","USER","04071602"
"1A400031266EEF2000004675","10000103","NORTHERN LIGHTS1G",2,2.9,12,"CANNIBIS","SPECIALS","USER","4675"
"1A400031266EEF2000004675","10000105","NORTHERN LIGHTS 3.5G",1,10.16,40,"CANNIBIS","SPECIALS","USER","4675"
"1A40003126874C2000008454","10000107","EVOLAB DAB JAR .5G",0,20,50,"CANNIBIS","CONC","USER","041116REC5523"
"1A400031266EF55000000301","10000108","PURPLE URKLE 3.5G",0,0.45,60,"CANNIBIS","FLOWER","USER","0301"
"1A40003126874C2000008445","10000109","EVOLAB DAB JAR 1G",0,36,90,"CANNIBIS","CONC","USER","0411116REC5523"
"1A40003126874C2000007962","10000110","EVOLAB DISPOSABLE CHROMA 250MG",1,16.47,50,"CANNIBIS","CONC","USER","041916REC7071"
"1A400031266EF55000000301","10000111","PURPLE URKLE1G",0,2.2,20,"CANNIBIS","FLOWER","USER","0301"
"1A400031266EF55000000242","10000112","GHOST TRAIN HAZE 3.5G",15,12.5,60,"CANNIBIS","FLOWER","USER","0242"
"1A400031266EF78000010474","10000113","CHIESEL 1G",0,2.9,12,"CANNIBIS","FLOWER","USER","0474"
"1A400031266EF45000004227","10000115","HARLEQUIN 3.5G",0,11.72,60,"CANNIBIS","FLOWER","USER","4227"
"1A400031266EF45000004227","10000118","HARLEQUIN 1G",0,3.35,20,"CANNIBIS","FLOWER","USER","4227"
"1A40003126874C2000008449","10000119","EVOLAB CARTRIDGE NATURAL 250MG",2,19,40,"CANNIBIS","CONC","USER","042716REC7179"
"1A400031266EF45000003689","10000120","R4 X CRITICAL MASS 3.5G",0,4.46,40,"CANNIBIS","FLOWER","USER","3689"
"1A40003126874C2000007965","10000121","EVOLAB CARTRIDGE NATURAL 250MG",2,19,40,"CANNIBIS","CONC","USER","050316REC7264"
"1A400031266EF5B000005303","10000122","RECON 1G",0,2.9,12,"CANNIBIS","SPECIALS","USER","5303"
"1A40003126874C2000007966","10000123","EVOLAB CARTRIDGE NATURAL 250MG",2,19,40,"CANNIBIS","CONC","USER","042716REC7179"
"1A400031266EF5B000005303","10000124","RECON 3.5G",0,10.15,40,"CANNIBIS","SPECIALS","USER","5303"
"1A40003126874C2000007967","10000125","EVOLAB CARTRIDGE NATURAL 250MG",2,19,40,"CANNIBIS","CONC","USER","040516REC5511"
"1A400031266F025000003670","10000126","GREEN CRACK 1G",5,2.23,20,"CANNIBIS","FLOWER","USER","3670"
"1A40003126874C2000007964","10000127","EVOLAB CARTRIDGE CHROMA 250MG",5,0,40,"CANNIBIS","CONC","USER","041916REC7071"
"1A40003126874C2000008455","10000129","EVOLAB 500MG CHROMA REFILL",0,20.02,40,"CANNIBIS","CONC","USER","041116REC5523"
"1A40003126874C2000008455","10000130","EVOLAB 500MG CHROMA REFILL",0,20.02,40,"CANNIBIS","CONC","USER","041116REC5523"
"1A40003126874C2000008450","10000131","EVOLAB CARTRIDGE NATURAL 500MG",0,30,70,"CANNIBIS","CONC","USER","032216REC5916"
"1A40003126874C2000007963","10000132","EVOLAB CARTRIDGE CHROMA 500MG",2,20.93,75,"CANNIBIS","CONC","USER","060716REC7715"
"1A400031268748C000013310","10000133","INCREDIBLES BLACK CHERRY CBD",0,10.5,40,"CANNIBIS","EDIBLES","USER","048R016047"
"1A400031268748C000013308","10000134","INCREDIBLES COOKIES N CREAM",0,0,16,"CANNIBIS","EDIBLES","USER","085R100J043A"
"1A400031268748C000013291","10000139","INCREDIBLES MONKEY BAR",-2,9.5,25,"CANNIBIS","EDIBLES","USER","118R016116"
